# Channel	Signal	X(mm)	Y(mm)	Z(mm)	Phi(rad)	Theta(rad)
203	2.557	-85.7045	0.00144821	967.141	-1.57078	0.0995433
204	0	-73.6401	0.00144922	968.346	-1.57078	0.0995433
205	0	-79.6723	10.5014	967.743	-1.57078	0.0995433
206	0	-91.7366	10.5014	966.538	-1.57078	0.0995433
207	2.61434	-97.7688	0.00144719	965.936	-1.57078	0.0995433
208	0	-91.7366	-10.4986	966.538	-1.57078	0.0995433
209	0	-79.6723	-10.4986	967.743	-1.57078	0.0995433
210	0	-91.7793	-31.7933	965.923	4.37892	0.112867
211	0	-79.7238	-31.8171	967.213	4.37892	0.112867
212	0.745315	-85.7722	-21.3124	966.955	4.37892	0.112867
213	0	-97.8277	-21.2885	965.665	4.37892	0.112867
214	0	-103.835	-31.7694	964.632	4.37892	0.112867
215	0	-97.7864	-42.2742	964.891	4.37892	0.112867
216	0	-85.7309	-42.298	966.181	4.37892	0.112867
217	0	-67.3383	-53.017	967.141	4.04543	0.0995433
218	0	-55.251	-53.0462	968.088	4.04543	0.0995433
219	0	-61.3199	-42.5515	968.26	4.04543	0.0995433
220	0	-73.4072	-42.5223	967.313	4.04543	0.0995433
221	0	-79.4256	-52.9879	966.194	4.04543	0.0995433
222	0	-73.3567	-63.4826	966.022	4.04543	0.0995433
223	0	-61.2694	-63.5117	966.969	4.04543	0.0995433
224	0	-42.8535	-74.2215	967.141	3.66521	0.0995433
225	0	-30.7441	-74.2475	967.743	3.66521	0.0995433
226	0	-36.8213	-63.7735	968.346	3.66521	0.0995433
227	0	-48.9307	-63.7475	967.743	3.66521	0.0995433
228	0	-54.9628	-74.1955	966.538	3.66521	0.0995433
229	0	-48.8857	-84.6695	965.936	3.66521	0.0995433
230	0	-36.7763	-84.6955	966.538	3.66521	0.0995433
231	1.89195	-18.3559	-95.3798	965.923	3.33172	0.112867
232	0	-6.23426	-95.3941	966.181	3.33172	0.112867
233	0.275193	-12.3075	-84.9514	967.213	3.33172	0.112867
234	0	-24.4291	-84.9371	966.955	3.33172	0.112867
235	0	-30.4775	-95.3655	965.665	3.33172	0.112867
236	0	-24.4043	-105.808	964.632	3.33172	0.112867
237	0	-12.2827	-105.823	964.891	3.33172	0.112867
238	0	12.2449	-84.8252	967.141	2.99823	0.0995433
239	0	24.3681	-84.8167	966.969	2.99823	0.0995433
240	0	18.3138	-74.3719	968.088	2.99823	0.0995433
241	0	6.19071	-74.3804	968.26	2.99823	0.0995433
242	0	0.121799	-84.8337	967.313	2.99823	0.0995433
243	0	6.17601	-95.2785	966.194	2.99823	0.0995433
244	0	18.2991	-95.2701	966.022	2.99823	0.0995433
245	6.07718	42.851	-74.223	967.141	2.61801	0.0995433
246	0	54.9603	-74.197	966.538	2.61801	0.0995433
247	0	48.9282	-63.749	967.743	2.61801	0.0995433
248	0	36.8188	-63.775	968.346	2.61801	0.0995433
249	0	30.7416	-74.249	967.743	2.61801	0.0995433
250	0	36.7738	-84.697	966.538	2.61801	0.0995433
251	1.54796	48.8832	-84.671	965.936	2.61801	0.0995433
252	1.08931	73.4234	-63.5866	965.923	2.28452	0.112867
253	0	85.5037	-63.5484	964.891	2.28452	0.112867
254	0	79.4966	-53.0961	966.181	2.28452	0.112867
255	0	67.4164	-53.1343	967.213	2.28452	0.112867
256	0	61.3432	-63.6247	966.955	2.28452	0.112867
257	4.94201	67.3502	-74.077	965.665	2.28452	0.112867
258	2.40794	79.4305	-74.0388	964.632	2.28452	0.112867
259	0	103.92	-52.9317	963.488	2.0419	0.135647
260	0	115.956	-52.8867	962.027	2.0419	0.135647
261	0	109.977	-42.4291	963.402	2.0419	0.135647
262	0	97.9411	-42.4741	964.863	2.0419	0.135647
263	0	91.8841	-52.9768	964.949	2.0419	0.135647
264	4.2311	97.8631	-63.4344	963.574	2.0419	0.135647
265	0	109.899	-63.3893	962.113	2.0419	0.135647
266	0	110.063	-21.1816	964.096	1.76092	0.130335
267	0	122.088	-21.1625	962.548	1.76092	0.130335
268	0	116.092	-10.6753	963.58	1.76092	0.130335
269	0	104.067	-10.6944	965.127	1.76092	0.130335
270	0	98.0378	-21.2007	965.643	1.76092	0.130335
271	0	104.034	-31.688	964.611	1.76092	0.130335
272	0	116.059	-31.6689	963.064	1.76092	0.130335
273	0	116.143	10.5806	963.488	1.47995	0.135647
274	1.42183	128.157	10.5705	961.855	1.47995	0.135647
275	0	122.141	21.0747	962.543	1.47995	0.135647
276	0	110.127	21.0848	964.176	1.47995	0.135647
277	0	104.129	10.5906	965.121	1.47995	0.135647
278	0.584786	110.145	0.0863931	964.433	1.47995	0.135647
279	0	122.159	0.0763305	962.8	1.47995	0.135647
280	11.5237	122.159	42.3173	961.665	1.23732	0.150476
281	0	134.161	42.2749	959.947	1.23732	0.150476
282	1.12371	128.124	52.7834	960.291	1.23732	0.150476
283	0	116.122	52.8257	962.008	1.23732	0.150476
284	0	110.157	42.3597	963.382	1.23732	0.150476
285	0	116.195	31.8512	963.039	1.23732	0.150476
286	0	128.197	31.8088	961.321	1.23732	0.150476
287	0	97.8002	63.5316	963.488	0.994699	0.135647
288	0	109.846	63.4807	962.113	0.994699	0.135647
289	0	103.779	73.9775	962.027	0.994699	0.135647
290	1.07784	91.7332	74.0284	963.402	0.994699	0.135647
291	0	85.7542	63.5824	964.863	0.994699	0.135647
292	0	91.8213	53.0856	964.949	0.994699	0.135647
293	2.31621	103.867	53.0347	963.574	0.994699	0.135647
294	0	73.3753	84.7265	964.096	0.713724	0.130335
